
---------- Begin Simulation Statistics ----------
final_tick                                 7993239000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 107510                       # Simulator instruction rate (inst/s)
host_mem_usage                                 706980                       # Number of bytes of host memory used
host_op_rate                                   190422                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   279.04                       # Real time elapsed on the host
host_tick_rate                               28645176                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000000                       # Number of instructions simulated
sim_ops                                      53136004                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.007993                       # Number of seconds simulated
sim_ticks                                  7993239000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12669107                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 12034419                       # number of cc regfile writes
system.cpu.committedInsts                    30000000                       # Number of Instructions Simulated
system.cpu.committedOps                      53136004                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.532883                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.532883                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  38280517                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 21561287                       # number of floating regfile writes
system.cpu.idleCycles                          139629                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                20950                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3211639                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.354466                       # Inst execution rate
system.cpu.iew.exec_refs                      8179603                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1385307                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  205630                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               6814955                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 25                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1787                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1399784                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            54088984                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               6794296                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             27738                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              53626095                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1358                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 45377                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  18643                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 47345                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            168                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        13355                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           7595                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  72296122                       # num instructions consuming a value
system.cpu.iew.wb_count                      53608227                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.580461                       # average fanout of values written-back
system.cpu.iew.wb_producers                  41965069                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.353348                       # insts written-back per cycle
system.cpu.iew.wb_sent                       53615311                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 52285978                       # number of integer regfile reads
system.cpu.int_regfile_writes                26775924                       # number of integer regfile writes
system.cpu.ipc                               1.876586                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.876586                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            917340      1.71%      1.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              28156606     52.48%     54.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 2216      0.00%     54.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                106677      0.20%     54.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1321855      2.46%     56.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     56.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     56.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     56.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     56.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     56.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     56.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     56.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3011      0.01%     56.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     56.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2644828      4.93%     61.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   18      0.00%     61.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7189      0.01%     61.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2640939      4.92%     66.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 208      0.00%     66.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2754      0.01%     66.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4390895      8.18%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2196014      4.09%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               2      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3074679      5.73%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.74% # Type of FU issued
